Species;Rindorf_precautionary_F;Cheung_vulnerabilty;
Acanthistius brasilianus ;;49;
Acanthocybium solandri ;;50;
Acantholabrus palloni  ;6.33;;
Agonus cataphractus  ;20;;
Acanthopagrus latus ;;47;
Acanthopagrus schlegeli ;;47;
Albula vulpes ;;53;
Alectis alexandrinus ;;60;
Alepocephalus bairdii ;;71;
Alopias superciliosus ;;79;
Alopias vulpinus ;0.75;79;
Alosa aestivalis ;;49;
Alosa alosa ;;49;
Alosa fallax ;;49;
Alosa mediocris ;;43;
Alosa pontica ;;49;
Alosa pseudoharengus ;;43;
Alosa sapidissima ;;49;
Amblyraja georgiana ;;57;
Amblyraja hyperborea;0.22;;
Amblyraja radiata ;0.4;57;
Ammodytes personatus ;;45;
Anarhichas lupus ;0.41;78;
Anarhichas minor ;0.27;78;
Anchoa hepsetus ;;24;
Anchoa mitchilli ;;24;
Anodontostoma chacunda ;;10;
Anoplopoma fimbria ;;61;
Anthias anthias  ;20;;
Antimora rostrata ;;50;
Aphanopus carbo ;;75;
Aphia minuta  ;20;;
Apogon pseudomaculatus ;;10;
Archosargus probatocephalus ;;45;
Arctoscopus japonicus ;;32;
Arctozenus risso  ;20;;
Argentina silus ;4.05;37;
Argentina sphyraena ;20;37;
Argyropelecus olfersii  ;20;;
Argyrops spinifer ;;61;
Argyrosomus hololepidotus ;;75;
Argyrosomus regius ;0.4;75;
Argyrozona argyrozona ;5.78;71;
Arnoglossus laterna  ;20;;
Arnoglossus rueppelii  ;20;;
Arnoglossus thori  ;20;;
Ariomma indica ;;26;
Arripis georgianus ;;29;
Arripis trutta ;;29;
Astronesthes micropogon ;;10;
Atherina boyeri ;;42;
Atherina presbyter  ;20;;
Atractoscion aequidens ;;63;
Atractoscion nobilis ;;63;
Atrobucca nibe ;;49;
Austroglossus microlepis ;;55;
Austroglossus pectoralis ;;55;
Auxis rochei rochei ;20;25;
Auxis thazard thazard ;;25;
Balistes capriscus  ;8.1;;
Balistes carolinensis ;;28;
Bathysolea profundicola  ;20;;
Bathyraja eatonii ;;70;
Belone belone belone ;12.64;42;
Benthodesmus elongatus  ;1.43;;
Benthosema glaciale  ;20;;
Beryx decadactylus ;0.95;60;
Beryx splendens  ;1.16;;
Blennius ocellaris  ;17.13;;
Boops boops ;20;45;
Boreogadus saida ;;34;
Brachydeuterus auritus ;;43;
Brama brama ;0.29;53;
Bregmaceros mcclellandi ;;10;
Brevoortia aurea ;;48;
Brevoortia patronus ;;47;
Brevoortia pectinata ;;48;
Brevoortia tyrannus ;;47;
Brosme brosme ;0.26;54;
Brotula barbata ;;57;
Buenia jeffreysii  ;20;;
Buglossidium luteum  ;20;;
Callanthias ruber  ;0.84;;
Callionymus lyra  ;20;;
Callorhinchus capensis ;;72;
Callorhinchus milii ;;72;
Capros aper  ;20;;
Caranx crysos ;;53;
Caranx hippos ;;53;
Caranx rhonchus ;7.92;54;
Caranx ruber ;;57;
Carcharhinus brachyurus ;;83;
Carcharhinus falciformis ;;77;
Carcharhinus limbatus ;;77;
Carcharhinus obscurus ;;83;
Carcharodon carcharias ;;64;
Caulolatilus chrysops ;;45;
Caulolatilus princeps ;;45;
Centroberyx affinis ;;63;
Centrobranchus nigroocellatus ;;10;
Centrolabrus exoletus  ;20;;
Centrophorus granulosus ;;90;
Centrophorus squamosus ;;90;
Centropomus undecimalis ;;53;
Centropristis striata ;;36;
Centroscyllium fabricii ;;77;
Centroscymnus coelolepis ;;72;
Centroscymnus cryptacanthus ;;72;
Cepola macrophthalma  ;2.17;;
Ceratoscopelus maderensis  ;20;;
Cetengraulis edentulus ;;45;
Cetengraulis mysticetus ;;45;
Cetorhinus maximus ;0.47;54;
Chaenocephalus aceratus ;;66;
Chaenodraco wilsoni ;;40;
Champsocephalus gunnari ;;64;
Channichthys rhinoceratus ;;67;
Chauliodus sloani  ;2.51;;
Chaunax pictus  ;1.29;;
Cheilodactylus variegatus ;;31;
Cheilopogon agoo ;;59;
Cheimerius nufar ;;63;
Chelidonichthys capensis ;;35;
Chelidonichthys cuculus ;2.19;36;
Chelidonichthys gurnardus ;;35;
Chelidonichthys kumu ;;35;
Chelidonichthys lastoviza ;;35;
Chelidonichthys lucerna ;2.03;36;
Chelidonichthys obscurus  ;1.92;;
Chelon aurata  ;0.86;;
Chelon labrosus  ;0.77;;
Chelon ramada  ;1.43;;
Chimaera monstrosa ;0.28;50;
Chionodraco rastrospinosus ;;40;
Chirocentrus dorab ;;60;
Chirolophis ascanii  ;10.41;;
Chlorophthalmus agassizi  ;7.86;;
Chloroscombrus chrysurus ;;35;
Chloroscombrus orqueta ;;35;
Chrysophrys auratus ;;41;
Ciliata mustela ;;14;
Citharichthys sordidus ;;37;
Citharus linguatula  ;2.23;;
Clupanodon thrissa ;;35;
Clupea harengus membras ;;53;
Clupea harengus ;20;53;
Clupea pallasii ;;53;
Clupeonella cultriventris ;;50;
Coelorinchus caelorhincus  ;12.85;;
Cololabis saira ;;45;
Conger conger ;0.1;60;
Conger myriaster ;;60;
Conger oceanicus ;;72;
Conger orbignyanus ;;73;
Conodon nobilis ;;25;
Coregonus albula ;;49;
Coregonus huntsmani ;;40;
Coregonus lavaretus ;;41;
Coregonus oxyrinchus ;;40;
Coryphaena hippurus ;;50;
Coryphaenoides rupestris ;0.26;75;
Cottunculus microps  ;20;;
Crystallogobius linearis  ;20;;
Ctenolabrus rupestris  ;20;;
Cyclopterus lumpus ;0.92;43;
Cynoscion analis ;;48;
Cynoscion nebulosus ;;37;
Cynoscion regalis ;;48;
Cynoscion striatus ;;37;
Cyttopsis rosea  ;4.21;;
Dalatias licha ;0.33;69;
Dasyatis akajei ;;40;
Dasyatis pastinaca ;0.14;40;
Dasyatis tortonesei  ;0.3;;
Deania calcea ;0.25;77;
Deania profundorum  ;0.79;;
Decapterus maruadsi ;;15;
Decapterus russelli ;;15;
Dentex angolensis ;;51;
Dentex canariensis ;0.83;40;
Dentex congoensis ;;40;
Dentex dentex ;;52;
Dentex gibbosus  ;0.51;;
Dentex macrophthalmus ;;49;
Dentex maroccanus  ;20;;
Dicentrarchus labrax ;0.49;42;
Dicentrarchus punctatus ;0.29;42;
Dicologlossa cuneata ;8.14;41;
Diplectrum formosum ;;16;
Diplecogaster bimaculata  ;20;;
Diplodus annularis ;20;21;
Diplodus argenteus argenteus ;;21;
Diplodus bellottii  ;20;;
Diplodus cervinus cervinus ;0.8;50;
Diplodus puntazzo ;;34;
Diplodus sargus sargus ;3.21;35;
Diplodus vulgaris Common ;20;22;
Diplophos maderensis ;;19;
Dipturus batis ;0.08;86;
Dipturus laevis ;;87;
Dipturus nidarosiensis  ;0.11;;
Dipturus oxyrinchus ;0.13;86;
Dissostichus eleginoides ;;79;
Dissostichus mawsoni ;;79;
Dorosoma cepedianum ;;41;
Dussumieria acuta ;;10;
Dussumieria elopsoides ;;10;
Echiichthys vipera  ;15.69;;
Echiodon drummondii  ;4.23;;
Ectreposebastes imus ;;10;
Elagatis bipinnulata ;;63;
Eleginops maclovinus ;;52;
Eleginus gracilis ;;40;
Eleginus navaga ;;40;
Eleutheronema tetradactylum ;;69;
Elops lacerta ;;54;
Elops saurus ;;54;
Emmelichthys nitidus nitidus ;;66;
Enchelyopus cimbrius  ;1.85;;
Engraulis anchoita ;;44;
Engraulis capensis ;;44;
Engraulis encrasicolus ;20;44;
Engraulis japonicus ;;44;
Engraulis mordax ;;44;
Engraulis ringens ;;44;
Entelurus aequoreus  ;7.11;;
Ephippion guttifer  ;0.42;;
Eopsetta jordani ;;62;
Epigonus denticulatus  ;20;;
Epigonus telescopus ;0.33;51;
Epinephelus aeneus ;;63;
Epinephelus analogus ;;55;
Epinephelus flavolimbatus ;;63;
Epinephelus goreensis ;;63;
Epinephelus guttatus ;;49;
Epinephelus marginatus ;;62;
Epinephelus morio ;;55;
Epinephelus nigritus ;;63;
Epinephelus niveatus ;;63;
Epinephelus striatus ;;49;
Epinephelus tauvina ;;63;
Ethmalosa fimbriata ;;38;
Ethmidium maculatum ;;55;
Etmopterus princeps  ;0.32;;
Etmopterus pusillus  ;0.6;;
Etmopterus spinax  ;0.83;;
Etrumeus teres ;;46;
Etrumeus whiteheadi ;;46;
Euthynnus affinis ;;60;
Euthynnus alletteratus ;;60;
Euthynnus lineatus ;;60;
Eutrigla gurnardus  ;0.83;;
Gadella maraldi  ;20;;
Gadiculus argenteus  ;12.96;;
Gadus macrocephalus ;;58;
Gadus morhua ;0.73;52;
Gadus ogac ;;52;
Gaidropsarus argentatus  ;20;;
Gaidropsarus biscayensis  ;10.55;;
Gaidropsarus macropthalmus  ;20;;
Gaidropsarus mediterraneus  ;2.04;;
Gaidropsarus vulgaris  ;1.5;;
Galeichthys feliceps ;;40;
Galeoides decadactylus ;;50;
Galeorhinus galeus ;0.33;61;
Galeus atlanticus  ;1.45;;
Galeus melastomus ;0.44;51;
Gasterosteus aculeatus  ;20;;
Genyonemus lineatus ;;33;
Genypterus blacodes ;;70;
Genypterus capensis ;;49;
Genypterus chilensis ;;69;
Genypterus maculatus ;;49;
Ginglymostoma cirratum ;;79;
Girella nigricans ;;53;
Girella tricuspidata ;;53;
Glossanodon semifasciatus ;;24;
Glyptocephalus cynoglossus ;0.76;46;
Glyptocephalus zachirus ;;46;
Gnathanodon speciosus ;;68;
Gnathophis mystax  ;0.8;;
Gobionotothen gibberifrons ;;70;
Gobius niger ;;29;
Gobius gasteveni  ;20;;
Gobius paganellus  ;20;;
Gonostoma atlanticum ;;10;
Halargyreus johnsonii  ;1.24;;
Harpadon nehereus ;;22;
Helicolenus dactylopterus dactylopterus ;0.74;59;
Hemiramphus brasiliensis ;;51;
Herklotsichthys quadrimaculatus ;;42;
Hexanchus griseus  ;0.13;;
Hilsa kelee ;;10;
Hippoglossoides elassodon ;;29;
Hippoglossoides platessoides ;7.65;29;
Hippoglossus hippoglossus ;0.13;68;
Hippoglossus stenolepis ;;68;
Holtbyrnia anomala ;;53;
Hoplostethus atlanticus ;;64;
Hoplostethus mediterraneus  ;2.2;;
Hydrolagus novaezealandiae ;;60;
Hygophum benoiti  ;20;;
Hymenocephalus italicus  ;20;;
Hyperoglyphe antarctica ;;45;
Hyperoglyphe bythites ;;45;
Hypomesus pretiosus ;;20;
Hypoptychus dybowskii ;;26;
Hyporhamphus ihi ;;40;
Hyporhamphus sajori ;;40;
Icelus bicornis  ;20;;
Ilisha africana ;;31;
Ilisha elongata ;;31;
Isacia conceptionis ;;51;
Istiophorus albicans ;;46;
Istiophorus platypterus ;;46;
Isurus oxyrinchus ;;76;
Isurus paucus ;;76;
Joturus pichardi ;;45;
Kathetostoma giganteum ;;52;
Katsuwonus pelamis ;;55;
Konosirus punctatus ;;24;
Kyphosus cinerascens ;;47;
Labrus bergylta ;3.16;37;
Labrus merula ;;37;
Labrus mixtus  ;20;;
Lactarius lactarius ;;19;
Lamna nasus ;0.39;66;
Lampanyctus crocodilus  ;3.16;;
Lampanyctodes hectoris ;;31;
Lampris guttatus ;;90;
Larimichthys polyactis ;;59;
Lateolabrax japonicus ;;62;
Lates calcarifer ;;58;
Leiostomus xanthurus ;;20;
Lepidocybium flavobrunneum ;;90;
Lepidion eques  ;1.28;;
Lepidonotothen squamifrons ;;70;
Lepidoperca pulchella ;;33;
Lepidopsetta bilineata ;;67;
Lepidopus caudatus ;1;77;
Lepidorhombus boscii ;0.53;42;
Lepidorhombus whiffiagonis ;0.35;42;
Lepidorhynchus denticulatus ;;40;
Lepidotrigla cavillone  ;20;;
Lepidotrigla dieuzeidei ;20;51;
Leptagonus decagonus  ;20;;
Leptoclinus maculatus  ;14.2;;
Lestidiops jayakari  ;8.97;;
Lesueurigobius friesii  ;20;;
Lesueurigobius sanzi  ;20;;
Lethrinus atlanticus ;;53;
Leucoraja circularis ;0.2;69;
Leucoraja erinacea ;;17;
Leucoraja fullonica ;0.2;69;
Leucoraja garmani ;;17;
Leucoraja naevus ;0.32;62;
Lichia amia ;;90;
Limanda aspera ;;40;
Limanda ferruginea ;;33;
Limanda limanda ;2.53;33;
Lithognathus lithognathus ;;53;
Lithognathus mormyrus ;20;53;
Liza saliens ;;57;
Lobotes surinamensis ;;68;
Lophius americanus ;0.22;72;
Lophius budegassa ;0.16;50;
Lophius piscatorius ;;65;
Lophius vaillanti ;;50;
Lophius vomerinus ;;72;
Lopholatilus chamaeleonticeps ;;58;
Lota lota ;;75;
Lumpenus lampretaeformis  ;2.13;;
Lutjanus argentimaculatus ;;42;
Lutjanus argentiventris ;;42;
Lutjanus campechanus ;;45;
Lutjanus purpureus ;;48;
Lutjanus synagris ;;42;
Lycenchelys sarsi  ;20;;
Lycodes gracilis  ;20;;
Lycodes vahlii  ;1.16;;
Macquaria ambigua ;;62;
